issue,date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
第688回,2026-07-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
第687回,2026-07-24,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5
第686回,2026-07-17,0.333333,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.0,0.333333,0.0,0.0,0.333333,0.333333,0.333333,0.333333,0.666667,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.333333,0.0,0.333333,0.666667,0.333333,0.333333
第685回,2026-07-10,0.5,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.25,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.5,0.25,0.25
第684回,2026-07-03,0.4,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.2,0.4,0.0,0.2,0.4,0.4,0.2
第683回,2026-06-26,0.333333,0.0,0.166667,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.166667,0.166667,0.333333,0.166667,0.166667,0.166667,0.333333,0.5,0.5,0.166667,0.166667,0.5,0.0,0.0,0.333333,0.333333,0.166667,0.166667,0.333333,0.0,0.166667,0.333333,0.5,0.166667
第682回,2026-06-19,0.285714,0.0,0.142857,0.142857,0.142857,0.0,0.0,0.142857,0.0,0.0,0.285714,0.0,0.0,0.285714,0.142857,0.285714,0.285714,0.142857,0.142857,0.285714,0.428571,0.428571,0.285714,0.142857,0.428571,0.0,0.0,0.428571,0.285714,0.285714,0.142857,0.285714,0.0,0.142857,0.285714,0.571429,0.142857
第681回,2026-06-12,0.375,0.0,0.125,0.125,0.125,0.0,0.0,0.125,0.0,0.125,0.25,0.125,0.125,0.25,0.125,0.25,0.25,0.125,0.25,0.25,0.375,0.375,0.25,0.125,0.375,0.0,0.0,0.375,0.25,0.25,0.125,0.25,0.125,0.125,0.375,0.5,0.125
第680回,2026-06-05,0.333333,0.0,0.111111,0.111111,0.111111,0.0,0.0,0.111111,0.111111,0.222222,0.222222,0.111111,0.111111,0.222222,0.111111,0.222222,0.222222,0.111111,0.222222,0.222222,0.333333,0.444444,0.222222,0.111111,0.333333,0.111111,0.111111,0.333333,0.222222,0.222222,0.222222,0.222222,0.111111,0.111111,0.333333,0.555556,0.111111
第679回,2026-05-29,0.3,0.0,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.2,0.2,0.3,0.1,0.1,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.4,0.5,0.1
第678回,2026-05-22,0.272727,0.090909,0.090909,0.090909,0.090909,0.181818,0.0,0.181818,0.181818,0.181818,0.181818,0.181818,0.090909,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.181818,0.272727,0.454545,0.181818,0.272727,0.272727,0.181818,0.090909,0.272727,0.181818,0.181818,0.181818,0.181818,0.090909,0.181818,0.363636,0.454545,0.090909
第677回,2026-05-15,0.25,0.083333,0.083333,0.083333,0.166667,0.25,0.083333,0.25,0.166667,0.166667,0.166667,0.166667,0.083333,0.166667,0.25,0.166667,0.25,0.166667,0.25,0.166667,0.25,0.416667,0.166667,0.25,0.25,0.166667,0.083333,0.25,0.166667,0.166667,0.166667,0.166667,0.083333,0.166667,0.333333,0.416667,0.083333
第676回,2026-05-08,0.230769,0.153846,0.076923,0.076923,0.153846,0.307692,0.076923,0.230769,0.153846,0.153846,0.153846,0.153846,0.076923,0.153846,0.307692,0.153846,0.230769,0.153846,0.307692,0.230769,0.230769,0.461538,0.153846,0.230769,0.230769,0.153846,0.153846,0.230769,0.153846,0.153846,0.153846,0.153846,0.076923,0.153846,0.307692,0.384615,0.076923
第675回,2026-05-01,0.214286,0.142857,0.071429,0.071429,0.214286,0.285714,0.071429,0.285714,0.142857,0.142857,0.142857,0.142857,0.071429,0.142857,0.285714,0.214286,0.214286,0.214286,0.285714,0.214286,0.214286,0.428571,0.142857,0.285714,0.214286,0.142857,0.142857,0.285714,0.142857,0.142857,0.214286,0.142857,0.071429,0.142857,0.285714,0.357143,0.071429
第674回,2026-04-24,0.266667,0.133333,0.066667,0.066667,0.2,0.333333,0.133333,0.266667,0.2,0.133333,0.133333,0.2,0.066667,0.133333,0.266667,0.2,0.2,0.2,0.266667,0.2,0.2,0.466667,0.133333,0.266667,0.2,0.2,0.133333,0.266667,0.133333,0.133333,0.2,0.133333,0.066667,0.133333,0.266667,0.333333,0.066667
第673回,2026-04-17,0.25,0.125,0.0625,0.0625,0.1875,0.375,0.125,0.25,0.25,0.1875,0.125,0.25,0.0625,0.125,0.25,0.25,0.1875,0.1875,0.25,0.1875,0.1875,0.4375,0.125,0.3125,0.1875,0.1875,0.125,0.25,0.125,0.125,0.1875,0.1875,0.0625,0.125,0.25,0.3125,0.0625
第672回,2026-04-10,0.235294,0.117647,0.058824,0.058824,0.176471,0.352941,0.176471,0.235294,0.235294,0.176471,0.176471,0.235294,0.058824,0.117647,0.294118,0.294118,0.235294,0.176471,0.235294,0.176471,0.176471,0.411765,0.117647,0.352941,0.176471,0.176471,0.117647,0.235294,0.117647,0.117647,0.176471,0.176471,0.117647,0.117647,0.235294,0.294118,0.058824
第671回,2026-04-03,0.222222,0.111111,0.055556,0.055556,0.166667,0.333333,0.222222,0.222222,0.222222,0.166667,0.166667,0.222222,0.111111,0.111111,0.277778,0.333333,0.222222,0.166667,0.222222,0.166667,0.166667,0.444444,0.111111,0.333333,0.166667,0.166667,0.111111,0.277778,0.111111,0.111111,0.166667,0.166667,0.166667,0.111111,0.222222,0.333333,0.055556
第670回,2026-03-27,0.210526,0.105263,0.105263,0.105263,0.157895,0.315789,0.210526,0.210526,0.263158,0.210526,0.157895,0.210526,0.105263,0.105263,0.263158,0.315789,0.210526,0.210526,0.210526,0.157895,0.210526,0.421053,0.105263,0.315789,0.157895,0.157895,0.105263,0.263158,0.105263,0.105263,0.157895,0.157895,0.157895,0.105263,0.210526,0.315789,0.105263
第669回,2026-03-20,0.2,0.1,0.15,0.1,0.2,0.35,0.25,0.2,0.3,0.2,0.15,0.2,0.15,0.1,0.25,0.35,0.2,0.2,0.2,0.15,0.2,0.4,0.1,0.3,0.15,0.15,0.1,0.25,0.1,0.1,0.15,0.15,0.15,0.1,0.2,0.3,0.1
第668回,2026-03-13,0.238095,0.095238,0.142857,0.095238,0.190476,0.333333,0.238095,0.238095,0.285714,0.190476,0.190476,0.190476,0.142857,0.142857,0.238095,0.333333,0.190476,0.238095,0.190476,0.142857,0.190476,0.428571,0.095238,0.285714,0.142857,0.142857,0.095238,0.238095,0.142857,0.095238,0.142857,0.142857,0.142857,0.095238,0.190476,0.285714,0.095238
第667回,2026-03-06,0.227273,0.090909,0.136364,0.090909,0.181818,0.318182,0.227273,0.227273,0.318182,0.181818,0.181818,0.181818,0.181818,0.136364,0.227273,0.318182,0.181818,0.227273,0.181818,0.181818,0.181818,0.454545,0.090909,0.272727,0.136364,0.136364,0.090909,0.272727,0.181818,0.090909,0.136364,0.136364,0.181818,0.090909,0.181818,0.272727,0.090909
第666回,2026-02-27,0.217391,0.130435,0.130435,0.086957,0.173913,0.304348,0.217391,0.217391,0.304348,0.173913,0.173913,0.173913,0.173913,0.130435,0.217391,0.304348,0.217391,0.26087,0.173913,0.173913,0.173913,0.478261,0.130435,0.26087,0.173913,0.130435,0.086957,0.26087,0.173913,0.086957,0.130435,0.130435,0.217391,0.086957,0.173913,0.26087,0.086957
第665回,2026-02-20,0.208333,0.125,0.125,0.083333,0.166667,0.333333,0.208333,0.25,0.291667,0.166667,0.166667,0.166667,0.166667,0.166667,0.208333,0.291667,0.208333,0.25,0.208333,0.166667,0.166667,0.5,0.125,0.25,0.208333,0.125,0.083333,0.25,0.166667,0.083333,0.125,0.125,0.208333,0.083333,0.208333,0.25,0.083333
第664回,2026-02-13,0.2,0.12,0.16,0.08,0.16,0.36,0.2,0.28,0.28,0.16,0.16,0.16,0.16,0.2,0.2,0.28,0.2,0.24,0.2,0.16,0.2,0.52,0.12,0.24,0.2,0.12,0.08,0.24,0.16,0.08,0.16,0.12,0.2,0.08,0.2,0.24,0.08
第663回,2026-02-06,0.192308,0.115385,0.153846,0.115385,0.153846,0.384615,0.192308,0.269231,0.269231,0.192308,0.192308,0.153846,0.192308,0.192308,0.192308,0.269231,0.230769,0.230769,0.192308,0.153846,0.192308,0.5,0.153846,0.230769,0.192308,0.115385,0.076923,0.230769,0.153846,0.076923,0.153846,0.115385,0.192308,0.076923,0.192308,0.230769,0.076923
第662回,2026-01-30,0.185185,0.111111,0.148148,0.148148,0.148148,0.37037,0.185185,0.259259,0.259259,0.185185,0.185185,0.148148,0.185185,0.222222,0.222222,0.259259,0.222222,0.222222,0.185185,0.148148,0.222222,0.518519,0.148148,0.259259,0.185185,0.111111,0.074074,0.222222,0.148148,0.074074,0.148148,0.111111,0.185185,0.074074,0.185185,0.222222,0.111111
第661回,2026-01-23,0.178571,0.107143,0.142857,0.142857,0.142857,0.357143,0.214286,0.25,0.25,0.178571,0.178571,0.178571,0.178571,0.214286,0.214286,0.25,0.25,0.214286,0.178571,0.142857,0.214286,0.535714,0.142857,0.25,0.178571,0.107143,0.071429,0.214286,0.142857,0.071429,0.178571,0.107143,0.178571,0.107143,0.214286,0.214286,0.107143
